time,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-10-17 17:00:00,15.2,87,8.7
2025-10-17 18:00:00,14.9,89,9.4
2025-10-17 19:00:00,14.5,91,9.4
2025-10-17 20:00:00,14.0,93,8.3
2025-10-17 21:00:00,13.7,95,7.7
2025-10-17 22:00:00,13.6,95,7.4
2025-10-17 23:00:00,13.5,95,7.8
2025-10-18 00:00:00,13.5,95,7.9
2025-10-18 01:00:00,13.2,95,7.9
2025-10-18 02:00:00,13.0,95,8.0
2025-10-18 03:00:00,12.7,95,7.8
2025-10-18 04:00:00,12.4,96,7.5
2025-10-18 05:00:00,12.2,96,7.2
2025-10-18 06:00:00,12.5,94,7.7
2025-10-18 07:00:00,13.5,87,9.7
2025-10-18 08:00:00,15.1,76,12.5
2025-10-18 09:00:00,16.5,66,14.8
2025-10-18 10:00:00,17.6,56,15.9
2025-10-18 11:00:00,18.6,46,15.9
2025-10-18 12:00:00,19.3,39,16.4
2025-10-18 13:00:00,19.7,37,17.1
2025-10-18 14:00:00,19.8,37,18.2
2025-10-18 15:00:00,19.4,39,18.4
2025-10-18 16:00:00,18.5,41,18.4
2025-10-18 17:00:00,17.2,45,18.1
2025-10-18 18:00:00,15.8,52,16.8
2025-10-18 19:00:00,14.5,64,14.3
2025-10-18 20:00:00,13.0,78,11.4
2025-10-18 21:00:00,11.9,89,9.0
2025-10-18 22:00:00,11.1,93,8.4
2025-10-18 23:00:00,10.6,92,8.6
